what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1413654741818
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1413654741818
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1413654741818
os,sysinfo,,,"linux",1413654741821
arch,sysinfo,,,"x86_64",1413654741821
ws,sysinfo,,,"gtk",1413654741821
locale,sysinfo,,,"en_IN",1413654741821
processors,sysinfo,,,"4",1413654741821
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1413654741821
java.runtime.version,sysinfo,,,"1.7.0_65-b32",1413654741821
java.specification.name,sysinfo,,,"Java Platform API Specification",1413654741821
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413654741821
java.specification.version,sysinfo,,,"1.7",1413654741821
java.vendor,sysinfo,,,"Oracle Corporation",1413654741821
java.version,sysinfo,,,"1.7.0_65",1413654741821
java.vm.info,sysinfo,,,"mixed mode",1413654741821
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1413654741821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413654741821
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413654741821
java.vm.specification.version,sysinfo,,,"1.7",1413654741821
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413654741821
java.vm.version,sysinfo,,,"24.65-b04",1413654741821
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413654746996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655247103
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1413655249293
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1413655249297
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.400.v201005270700,"org.eclipse.jst.j2ee.ejb",1413655249317
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1413655249319
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1413655249322
started,bundle,org.eclipse.jst.jee.ejb,1.0.300.v201004191420,"org.eclipse.jst.jee.ejb",1413655249324
started,bundle,org.eclipse.jst.jee.web,1.0.300.v201004280739,"org.eclipse.jst.jee.web",1413655249326
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1413655249514
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1413655262548
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655262765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655276906
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1413655276950
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1413655276960
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1413655276990
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1413655277029
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1413655279630
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1413655283275
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1413655283342
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1413655283389
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1413655283391
started,bundle,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.ui",1413655283440
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1413655283448
started,bundle,org.eclipse.jst.jsf.ui,1.3.0.v20100525,"org.eclipse.jst.jsf.ui",1413655283449
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1413655283452
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1413655283482
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1413655283500
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1413655283517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655283773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655356589
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1413655356704
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1413655356844
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1413655356870
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1413655357011
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1413655357901
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413655395702
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.0.v20100604,"org.eclipse.jst.jsf.facelet.core",1413655405212
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1413655405320
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1413655405449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413655491433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655537103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655537524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655556924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655605503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655621745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655622612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655623475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655634063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655635343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655639244
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655650281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655651867
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655664715
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655666338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655673312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655674263
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413655690784
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413655693953
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1413655694066
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413655716551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655717369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655718482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655719786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655720464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655721106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655722026
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655725155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655726339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655729582
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655744386
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413655746043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413655750780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655751629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655755311
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655756365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655758052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655758715
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655760294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655762147
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655769710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655773031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655813600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655820328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655834822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655839655
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655840365
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655841007
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655847905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655850537
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655921811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655922677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655928161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413655935804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655936565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655989238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655997430
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1413655999315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413655999343
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413656000771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656003307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656012045
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1413656012118
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1413656012167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656021477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656035594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656036269
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1413656194239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656196856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656197937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656210214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656232590
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656235961
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656246113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656249083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656333451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656335331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656361152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656363993
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656374130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656524441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656543247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656550285
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656552508
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656554479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656574955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656576051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656578482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656617995
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656618817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656632350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656633109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656643478
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656646681
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656652784
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656653792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656661840
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656687110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656688064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656688708
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656696990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656698275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656710164
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656711754
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656716191
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656717204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656722370
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656723719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656734485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656736658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656741512
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656769770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656775804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656780549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656781870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656790090
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656831118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656832369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656857485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656863055
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656868911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656869572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656890282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413656896957
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656899606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656903404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413656906277
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413656907285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656907958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656914559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656917509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656968019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413656969311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657009765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657012719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1413657082143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1413657108305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657126308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657127098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657135083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657136446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657140531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657157672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657158212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657162874
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413657174191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657176046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657177060
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657177749
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657196529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657208992
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413657348998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657351809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657352905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657353802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657421237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657421873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657422452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657423555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657447504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657455780
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657464407
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657541629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657542277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657582582
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657587941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657605542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413657629498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657634202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657653508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657654073
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657662956
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413657693080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657695471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657721519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657722383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657751043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657765709
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1413657777473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1413657785855
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1413657786886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1413657788271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657831036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657831600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657838500
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657844645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657845243
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657846156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657846885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657852264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657853276
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657893534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1413657902391
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1413657903040
